"Nombre d'incendies suivant les critères de sélection : 21141"
"Critères de sélection =>";"Date de première alerte, de : 2025-01-01 00:00:00";"Date de première alerte, jusqu'à : 2025-12-31 23:59:00";"France entière"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Type de peuplement";Nature;"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Précision de la donnée"
2025;265;"57";"57443";"Marange-Silvange";"2025-01-03 20:58:34";20;0;;20;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;10625;"68";"68231";"Neuf-Brisach";"2025-01-03 21:02:00";1;0;;1;0;0;;;;;"Estimées";;;"Non";;;;""
2025;13;"34";"34207";"Pomérols";"2025-01-04 10:08:00";60;0;0;60;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;12;"34";"34102";"Fontanès";"2025-01-04 12:59:00";15;0;0;15;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;8954;"83";"83137";"Toulon";"2025-01-04 13:45:00";10;0;0;0;0;10;;;;;"Estimées";"1";"Accidentelle";"Non";;;;""
2025;11;"34";"34299";"Sérignan";"2025-01-04 14:27:00";500;0;0;500;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;10;"34";"34210";"Le Pouget";"2025-01-04 15:18:00";50;0;0;50;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;9;"34";"34163";"Montarnaud";"2025-01-04 15:56:00";1;0;0;1;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;8;"34";"34129";"Lattes";"2025-01-04 19:09:00";50;0;0;50;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;22376;"974";"97411";"Saint-Denis";"2025-01-04 19:25:00";20;0;;20;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;13960;"84";"84026";"Cadenet";"2025-01-04 20:54:00";10;0;0;0;0;10;;;;;"Estimées";;;"Non";;;;""
2025;22414;"974";"97417";"Saint-Philippe";"2025-01-04 21:40:00";15;0;;15;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;421;"13";"13047";"Istres";"2025-01-04 21:48:00";200;173;0;0;0;27;;;;;"Mesurées";;"Malveillance";"Oui";1;1;0;""
2025;7;"34";"34327";"Vendargues";"2025-01-04 22:09:00";2;0;0;2;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;22377;"974";"97417";"Saint-Philippe";"2025-01-04 22:25:00";15;0;;15;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;22378;"974";"97422";"Le Tampon";"2025-01-05 06:55:00";100;0;;100;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;22415;"974";"97422";"Le Tampon";"2025-01-05 07:10:00";100;0;;100;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;6;"34";"34145";"Lunel";"2025-01-05 08:07:00";1;0;0;1;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;22379;"974";"97416";"Saint-Pierre";"2025-01-05 09:40:00";1000;0;;1000;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;22416;"974";"97416";"Saint-Pierre";"2025-01-05 09:55:00";1000;0;;1000;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;22417;"974";"97416";"Saint-Pierre";"2025-01-05 10:25:00";4000;0;;4000;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;22418;"974";"97412";"Saint-Joseph";"2025-01-05 12:10:00";100;0;;100;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;14449;"87";"87152";"Saint-Jouvent";"2025-01-05 13:30:54";1;0;;0;0;1;;;;;"Mesurées";;;"Non";0;0;0;""
2025;7513;"11";"11262";"Narbonne";"2025-01-05 14:50:00";1;0;0;;0;1;;;;;"Mesurées";;;"Non";0;0;0;""
2025;22419;"974";"97412";"Saint-Joseph";"2025-01-05 14:55:00";500;500;;0;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;5;"34";"34151";"Marsillargues";"2025-01-05 16:14:00";1;0;0;1;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;123;"66";"66185";"Saint-Michel-de-Llotes";"2025-01-05 17:44:00";2;0;0;0;2;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
2025;8956;"83";"83120";"Saint-Zacharie";"2025-01-05 18:37:00";10;0;0;0;0;10;;;;;"Estimées";"2";"Involontaire (particulier)";"Non";;;;""
2025;3;"34";"34135";"Lespignan";"2025-01-05 19:08:00";100;0;0;0;0;100;;;;;"Estimées";"2";"Malveillance";"Non";;;;""
2025;14982;"64";"64504";"Sare";"2025-01-05 20:08:00";60000;0;;60000;0;0;;;;;"Estimées";;;"Non";;;;""
2025;1059;"26";"26003";"Aleyrac";"2025-01-05 20:39:00";30;0;0;30;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
2025;20183;"16";"16397";"Verdille";"2025-01-05 21:14:00";10000;0;;0;0;10000;;;;;"Estimées";;;"Non";;;;""
2025;22420;"974";"97414";"Saint-Louis";"2025-01-06 03:40:00";500;0;;500;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;54;"34";"34300";"Servian";"2025-01-06 08:21:00";2;0;0;0;0;2;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;22421;"974";"97415";"Saint-Paul";"2025-01-06 08:55:00";70;0;;70;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;16812;"79";"79079";"Mauléon";"2025-01-06 09:56:00";2;0;;0;0;2;;;;;"Estimées";;;"Non";0;0;0;""
2025;595;"18";"18023";"Baugy";"2025-01-06 11:36:00";10;0;;0;0;10;;;;;"Estimées";;;"Non";;;;"Données partielles ou non valides"
2025;53;"34";"34134";"Lavérune";"2025-01-06 13:52:00";300;0;0;300;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;124;"66";"66178";"Saint-Jean-Pla-de-Corts";"2025-01-06 16:19:00";1;0;0;0;0;1;;;;;"Estimées";;;"Non";;;;""
2025;1492;"13";"13091";"Saint-Cannat";"2025-01-06 17:09:00";20;20;0;0;0;0;;;;;"Estimées";;"Accidentelle";"Non";;;;""
2025;409;"13";"13091";"Saint-Cannat";"2025-01-06 17:09:00";20;0;0;0;0;20;;;;;"Estimées";;"Accidentelle";"Non";0;0;;""
2025;7514;"11";"11262";"Narbonne";"2025-01-06 17:30:00";100;0;0;;0;100;;;;;"Mesurées";;;"Non";0;0;0;""
2025;22422;"974";"97422";"Le Tampon";"2025-01-07 10:40:00";1000;0;;1000;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;567;"37";"37109";"Fondettes";"2025-01-07 10:42:00";15;0;;0;0;15;;;;;"Estimées";;;"Non";;;;""
2025;22423;"974";"97407";"Le Port";"2025-01-07 10:55:00";1500;0;;1500;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;52;"34";"34203";"Pinet";"2025-01-07 11:31:00";20;0;0;20;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;22380;"974";"97418";"Sainte-Marie";"2025-01-07 12:58:00";20000;0;;0;20000;0;;;;;"Estimées";;;"Non";;;;""
2025;51;"34";"34194";"Paulhan";"2025-01-07 13:36:00";100;0;0;100;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;8957;"83";"83016";"Le Beausset";"2025-01-07 15:34:00";100;0;0;0;0;100;;;;;"Estimées";"2";;"Non";;;;""
2025;163;"53";"53094";"Entrammes";"2025-01-07 17:03:00";1000;0;;1000;0;0;;;;;"Estimées";;"Accidentelle";"Non";;;;""
2025;169;"44";"44092";"Massérac";"2025-01-07 17:06:00";2;0;;0;0;2;;;;;"Estimées";;;"Non";;;;""
2025;20562;"44";"44092";"Massérac";"2025-01-07 17:06:00";2;0;;0;0;2;;;;;"Estimées";;;"Non";;;;""
2025;7515;"11";"11262";"Narbonne";"2025-01-07 18:16:00";10;0;0;;0;10;;;;;"Mesurées";;;"Non";0;0;0;""
2025;8958;"83";"83117";"Saint-Paul-en-Forêt";"2025-01-07 22:47:00";50;50;0;0;0;0;;;;;"Estimées";"5";"Accidentelle";"Non";;;;""
2025;22381;"974";"97422";"Le Tampon";"2025-01-08 00:55:00";100;0;;100;0;0;;;;;"Estimées";;;"Non";0;0;0;""
